,county_name,latitude,longitude,flag
439,Mount Kuring-Gai,-33.6530641,151.1368864,1
440,Mount Lewis,-33.9156089,151.0499433,1
441,Mount Pritchard,-33.9027189,150.9031488,1
442,Mount Vernon,-33.8566667,150.8094444,1
443,Mulgoa,-33.8371562,150.6504013,1
444,Mulgrave,-33.627219,150.8316603,1
445,Narellan Vale,-34.0524175,150.7446725,1
446,Naremburn,-33.8171309,151.2020304,1
447,Narrabeen,-33.7135699,151.2978164,1
448,Narraweena,-33.7502066,151.2741566,1
449,Narwee,-33.9455556,151.0694444,1
450,Nelson,-33.6478291,150.9213361,1
451,Neutral Bay,-33.8342887,151.2182049,1
452,Newington,-33.8342301,151.0558716,1
453,Newport,-33.6591061,151.3164331,1
454,Newtown,-33.8961132,151.1801893,1
455,Normanhurst,-33.7238649,151.0977351,1
456,North Balgowlah,-33.7881457,151.2507285,1
457,North Bondi,-33.882351,151.2768611,1
458,North Curl Curl,-33.7630002,151.2904773,1
459,North Epping,-33.7586111,151.0941667,1
460,North Kellyville,-33.6859488,150.9535842,1
461,North Manly,-33.7729035,151.2707221,1
462,North Narrabeen,-33.70098,151.2936426,1
463,North Parramatta,-33.7952747,151.0116649,1
464,North Richmond,-33.5750113,150.7056842,1
465,North Rocks,-33.7713052,151.020996,1
466,North Ryde,-33.7975472,151.127306,1
467,North St Ives,-33.715,151.1677778,1
468,North St Marys,-33.7544444,150.7858333,1
469,North Strathfield,-33.8588178,151.088578,1
470,North Sydney,-33.8354519,151.2083011,1
471,North Turramurra,-33.6911595,151.1519372,1
472,North Willoughby,-33.7941912,151.2004163,1
473,North Wahroonga,-33.7024148,151.1283034,1
474,Northbridge,-33.8111111,151.2175,1
475,Northmead,-33.7844423,150.9983289,1
476,Northwood,-33.827964,151.1782693,1
477,Norwest,-33.733048,150.964298,1
478,Oakhurst,-33.7372222,150.8347222,1
479,Oakville,-33.6256687,150.8722092,1
480,Oatlands,-33.7973385,151.0256526,1
481,Oatley,-33.9841882,151.0743856,1
482,Old Guildford,-33.8636111,150.9844444,1
483,Old Toongabbie,-33.7858548,150.9699533,1
484,Oran Park,-33.9948805,150.7402568,1
485,Orchard Hills,-33.7816667,150.7177778,1
486,Oxford Falls,-33.7335222,151.2449266,1
487,Oxley Park,-33.7705556,150.795,1
488,Oyster Bay,-34.0032775,151.0812354,1
489,Paddington,-33.8841572,151.2272766,1
