,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
1919,Dolans Bay,-34.0644424,151.12822769999997,Fishrock Marine Reserve,-34.068837,151.128246,Harbor / Marina
1920,Dolans Bay,-34.0644424,151.12822769999997,Shiprock Aquatic Reserve,-34.06884753567574,151.12877951420566,Harbor / Marina
1921,Dolls Point,-33.9936111,151.1447222,Kiss The Barista,-33.99663625565106,151.1436267380928,Café
1922,Dolls Point,-33.9936111,151.1447222,Foodies Deli Cafe,-33.99450033541733,151.14009016513995,Café
1923,Dolls Point,-33.9936111,151.1447222,Son of a Baker,-33.9894,151.1463,Café
1924,Dolls Point,-33.9936111,151.1447222,Georges River Sailing Club,-33.99665834122255,151.1436063555741,Sports Bar
1925,Dolls Point,-33.9936111,151.1447222,Coffee In The Park,-33.994753,151.145915,Park
1926,Dolls Point,-33.9936111,151.1447222,Cook Park,-33.9950233226601,151.1454428633089,Park
1927,Dolls Point,-33.9936111,151.1447222,Sandringham Beach,-33.99706821338254,151.1429793751745,Beach
1928,Dolls Point,-33.9936111,151.1447222,Rise & Grinde Cafe,-33.994865,151.139918,Café
1929,Doonside,-33.7549501,150.86859850000002,Indigo Plateau,-33.75866991923453,150.8703088760376,Stadium
1930,Double Bay,-33.8766373,151.24245,Bar Indigo,-33.876450948733726,151.2438711313714,Café
1931,Double Bay,-33.8766373,151.24245,Chinta Kechil,-33.87782,151.24237,Malay Restaurant
1932,Double Bay,-33.8766373,151.24245,Steyne Park,-33.87421487305612,151.2417595691906,Park
1933,Double Bay,-33.8766373,151.24245,Arte Bianca,-33.87621,151.24213,Italian Restaurant
1934,Double Bay,-33.8766373,151.24245,Little Jean,-33.8778851158829,151.2439664347906,Café
1935,Double Bay,-33.8766373,151.24245,Bake Bar Organic Artisan Bakery,-33.877770944746494,151.24400002939768,Bakery
1936,Double Bay,-33.8766373,151.24245,Double Bay Beach,-33.87391463480552,151.24310309026444,Beach
1937,Double Bay,-33.8766373,151.24245,CHAR & CO,-33.87699336694184,151.24267042969728,Brazilian Restaurant
1938,Double Bay,-33.8766373,151.24245,Twenty One,-33.87681433344002,151.24253883632102,Eastern European Restaurant
1939,Double Bay,-33.8766373,151.24245,Royal Oak Hotel,-33.877226870135125,151.2414843476441,Bar
1940,Double Bay,-33.8766373,151.24245,French Riviera Homemade Ice Cream,-33.87713374456292,151.2433158399848,Ice Cream Shop
1941,Double Bay,-33.8766373,151.24245,Woolworths,-33.87806382293077,151.24376672230488,Supermarket
1942,Double Bay,-33.8766373,151.24245,Dan Murphy's,-33.87801530152418,151.24372931158965,Liquor Store
1943,Double Bay,-33.8766373,151.24245,InterContinental Sydney Double Bay,-33.8761735,151.2432424,Hotel
1944,Double Bay,-33.8766373,151.24245,Mrs. Sippy,-33.87751,151.24186,Cocktail Bar
1945,Double Bay,-33.8766373,151.24245,The Golden Sheaf,-33.87765521328241,151.24351052513123,Pub
1946,Double Bay,-33.8766373,151.24245,Cosmopolitan Cafe,-33.87701033503325,151.24262963379724,Café
1947,Double Bay,-33.8766373,151.24245,Saké,-33.87601,151.24327,Japanese Restaurant
1948,Double Bay,-33.8766373,151.24245,Spice Market,-33.87799620827944,151.24268181548663,Thai Restaurant
1949,Double Bay,-33.8766373,151.24245,Simmone Logue,-33.8768404862715,151.24412207492279,Café
1950,Double Bay,-33.8766373,151.24245,Pink Salt,-33.87603003639066,151.24228925376272,Restaurant
1951,Double Bay,-33.8766373,151.24245,Perons,-33.8770866394043,151.24169921875,Café
1952,Double Bay,-33.8766373,151.24245,Oporto,-33.87787,151.24232,Fried Chicken Joint
1953,Double Bay,-33.8766373,151.24245,Niji Restaurant and Bar,-33.877785,151.241632,Japanese Restaurant
1954,Double Bay,-33.8766373,151.24245,18 Footers,-33.87343410571521,151.2425445163368,Boat or Ferry
1955,Double Bay,-33.8766373,151.24245,Soy Noodle,-33.87753,151.24274,Noodle House
1956,Double Bay,-33.8766373,151.24245,Blue Beat,-33.87666,151.24325,Jazz Club
1957,Double Bay,-33.8766373,151.24245,Double Bay Park,-33.87639215719516,151.241526162025,Park
1958,Double Bay,-33.8766373,151.24245,Club InterContinental,-33.876067,151.243351,Restaurant
1959,Double Bay,-33.8766373,151.24245,Roma Arcade,-33.877718,151.243404,Shopping Mall
1960,Double Bay,-33.8766373,151.24245,La Piadina,-33.877926,151.244042,Italian Restaurant
1961,Double Bay,-33.8766373,151.24245,Double Bay Marina,-33.87367197844304,151.2424939500669,Harbor / Marina
1962,Dover Heights,-33.873983100000004,151.2810366,Dudley Page Reserve,-33.86983589545019,151.28082308057412,Park
1963,Dover Heights,-33.873983100000004,151.2810366,Rodney Reserve,-33.87299159499003,151.28296413510608,Playground
1964,Dover Heights,-33.873983100000004,151.2810366,Caffyn park,-33.87253285057775,151.27939952294065,Playground
1965,Dover Heights,-33.873983100000004,151.2810366,Raleigh Reserve,-33.8778964552943,151.28203026737262,Park
1966,Drummoyne,-33.85206779999999,151.15368899999999,Three Rosettas,-33.85118328975657,151.15423831334456,Café
1967,Drummoyne,-33.85206779999999,151.15368899999999,Copo,-33.85324136169923,151.15589358544574,Café
1968,Drummoyne,-33.85206779999999,151.15368899999999,Harris Farm Markets,-33.85323581755485,151.15649264093346,Market
